GeneID,AverageFPKM
Glyma.01G030800.Wm82.a4.v1,6.57027
Glyma.01G030500.Wm82.a4.v1,15.5901
Glyma.01G031700.Wm82.a4.v1,3.4004
Glyma.01G031500.Wm82.a4.v1,3.04188
Glyma.01G031900.Wm82.a4.v1,1.22678
Glyma.01G032100.Wm82.a4.v1,1.6883
Glyma.01G031400.Wm82.a4.v1,5.88168
Glyma.01G032500.Wm82.a4.v1,5.22122
Glyma.01G033300.Wm82.a4.v1,3.68792
Glyma.01G033400.Wm82.a4.v1,5.8725
Glyma.01G033900.Wm82.a4.v1,1.01589
Glyma.01G034000.Wm82.a4.v1,2.0219
Glyma.01G034300.Wm82.a4.v1,1.39459
Glyma.01G034700.Wm82.a4.v1,1.81145
Glyma.01G033800.Wm82.a4.v1,13.6585
Glyma.01G035300.Wm82.a4.v1,1.99443
Glyma.01G035700.Wm82.a4.v1,1.62847
Glyma.01G035100.Wm82.a4.v1,4.07535
Glyma.01G036200.Wm82.a4.v1,1.60873
Glyma.01G036500.Wm82.a4.v1,2.47298
Glyma.01G036700.Wm82.a4.v1,2.45005
Glyma.01G037200.Wm82.a4.v1,1.43826
Glyma.01G037300.Wm82.a4.v1,4.00063
Glyma.01G037900.Wm82.a4.v1,1.76717
Glyma.01G036900.Wm82.a4.v1,9.9133
Glyma.01G037700.Wm82.a4.v1,2.2794
Glyma.01G038100.Wm82.a4.v1,1.89201
Glyma.01G038250.Wm82.a4.v1,3.27093
Glyma.01G038300.Wm82.a4.v1,1.3222
Glyma.01G038500.Wm82.a4.v1,1.42176
Glyma.01G038700.Wm82.a4.v1,2.38426
Glyma.01G038800.Wm82.a4.v1,3.28388
Glyma.01G038900.Wm82.a4.v1,2.05298
Glyma.01G039100.Wm82.a4.v1,4.15885
Glyma.01G039200.Wm82.a4.v1,1.24356
Glyma.01G038600.Wm82.a4.v1,18.9064
Glyma.01G039800.Wm82.a4.v1,1.12856
Glyma.01G026700.Wm82.a4.v1,154.559
Glyma.01G040000.Wm82.a4.v1,7.60693
Glyma.01G040300.Wm82.a4.v1,1.16296
Glyma.01G040400.Wm82.a4.v1,1.79591
Glyma.01G040200.Wm82.a4.v1,35.0427
Glyma.01G040700.Wm82.a4.v1,17.0964
Glyma.01G041300.Wm82.a4.v1,1.80378
Glyma.01G041651.Wm82.a4.v1,2.371
Glyma.01G041500.Wm82.a4.v1,1.05355
Glyma.01G041400.Wm82.a4.v1,7.1653
Glyma.01G042400.Wm82.a4.v1,2.23934
Glyma.01G042300.Wm82.a4.v1,6.54595
Glyma.01G043000.Wm82.a4.v1,1.44444
Glyma.01G042800.Wm82.a4.v1,8.606
Glyma.01G044100.Wm82.a4.v1,2.37648
Glyma.01G044200.Wm82.a4.v1,2.73952
Glyma.01G044000.Wm82.a4.v1,30.8253
Glyma.01G044500.Wm82.a4.v1,11.1723
Glyma.01G044600.Wm82.a4.v1,1.79876
Glyma.01G045100.Wm82.a4.v1,3.4751
Glyma.01G045200.Wm82.a4.v1,9.7387
Glyma.01G045500.Wm82.a4.v1,2.35284
Glyma.01G045700.Wm82.a4.v1,1.04437
Glyma.01G046500.Wm82.a4.v1,1.49122
Glyma.01G046200.Wm82.a4.v1,3.81467
Glyma.01G046900.Wm82.a4.v1,1.01223
Glyma.01G046700.Wm82.a4.v1,2.4649
Glyma.01G047000.Wm82.a4.v1,16.2523
Glyma.01G047100.Wm82.a4.v1,3.0473
Glyma.01G047700.Wm82.a4.v1,4.0862
Glyma.01G049100.Wm82.a4.v1,1.51201
Glyma.01G048000.Wm82.a4.v1,1.6193
Glyma.01G048500.Wm82.a4.v1,1.19869
Glyma.01G050400.Wm82.a4.v1,1.29187
Glyma.01G050500.Wm82.a4.v1,2.24897
Glyma.01G050100.Wm82.a4.v1,7.76732
Glyma.01G050900.Wm82.a4.v1,23.1754
Glyma.01G052200.Wm82.a4.v1,2.33364
Glyma.01G052400.Wm82.a4.v1,2.11469
Glyma.01G052700.Wm82.a4.v1,2.9643
Glyma.01G052800.Wm82.a4.v1,2.19114
Glyma.01G052600.Wm82.a4.v1,1.29493
Glyma.01G053200.Wm82.a4.v1,1.54724
Glyma.01G051400.Wm82.a4.v1,3.0892
Glyma.01G054000.Wm82.a4.v1,2.03142
Glyma.01G054200.Wm82.a4.v1,1.75818
Glyma.01G053800.Wm82.a4.v1,1.95728
Glyma.01G054300.Wm82.a4.v1,2.47166
Glyma.01G054800.Wm82.a4.v1,1.80143
Glyma.01G055500.Wm82.a4.v1,1.82659
