GeneID,AverageFPKM
Glyma.01G029700.Wm82.a4.v1,3.3308
Glyma.01G029200.Wm82.a4.v1,50.429
Glyma.01G029600.Wm82.a4.v1,7.29223
Glyma.01G030400.Wm82.a4.v1,2.5635
Glyma.01G029800.Wm82.a4.v1,24.6381
Glyma.01G030600.Wm82.a4.v1,6.54103
Glyma.01G030800.Wm82.a4.v1,6.90435
Glyma.01G030500.Wm82.a4.v1,13.1163
Glyma.01G031700.Wm82.a4.v1,4.86662
Glyma.01G031500.Wm82.a4.v1,4.27315
Glyma.01G031800.Wm82.a4.v1,1.05743
Glyma.01G031900.Wm82.a4.v1,1.06302
Glyma.01G031400.Wm82.a4.v1,5.70003
Glyma.01G032100.Wm82.a4.v1,2.19074
Glyma.01G032500.Wm82.a4.v1,6.50183
Glyma.01G033300.Wm82.a4.v1,5.003
Glyma.01G033400.Wm82.a4.v1,6.96223
Glyma.01G034000.Wm82.a4.v1,1.46376
Glyma.01G034300.Wm82.a4.v1,1.87043
Glyma.01G034700.Wm82.a4.v1,1.001
Glyma.01G033800.Wm82.a4.v1,12.2978
Glyma.01G035300.Wm82.a4.v1,1.75982
Glyma.01G035700.Wm82.a4.v1,1.66449
Glyma.01G035100.Wm82.a4.v1,3.65987
Glyma.01G036200.Wm82.a4.v1,1.58819
Glyma.01G036500.Wm82.a4.v1,2.6233
Glyma.01G036700.Wm82.a4.v1,2.9042
Glyma.01G026700.Wm82.a4.v1,112.227
Glyma.01G037200.Wm82.a4.v1,2.02707
Glyma.01G037300.Wm82.a4.v1,4.78545
Glyma.01G036900.Wm82.a4.v1,11.564
Glyma.01G037900.Wm82.a4.v1,2.18494
Glyma.01G037700.Wm82.a4.v1,2.93827
Glyma.01G038100.Wm82.a4.v1,1.91839
Glyma.01G038250.Wm82.a4.v1,3.26285
Glyma.01G038300.Wm82.a4.v1,1.57548
Glyma.01G038500.Wm82.a4.v1,1.46359
Glyma.01G038700.Wm82.a4.v1,2.64732
Glyma.01G038800.Wm82.a4.v1,3.91915
Glyma.01G038900.Wm82.a4.v1,2.36205
Glyma.01G038600.Wm82.a4.v1,13.1844
Glyma.01G039100.Wm82.a4.v1,3.91947
Glyma.01G039200.Wm82.a4.v1,1.54616
Glyma.01G039800.Wm82.a4.v1,1.28648
Glyma.01G040000.Wm82.a4.v1,7.2361
Glyma.01G040300.Wm82.a4.v1,1.4621
Glyma.01G040200.Wm82.a4.v1,22.9372
Glyma.01G040400.Wm82.a4.v1,2.08298
Glyma.01G040700.Wm82.a4.v1,17.0599
Glyma.01G041300.Wm82.a4.v1,2.07466
Glyma.01G041651.Wm82.a4.v1,2.79488
Glyma.01G041700.Wm82.a4.v1,1.03707
Glyma.01G041400.Wm82.a4.v1,8.77593
Glyma.01G042400.Wm82.a4.v1,2.73382
Glyma.01G042300.Wm82.a4.v1,5.02602
Glyma.01G043000.Wm82.a4.v1,1.21073
Glyma.01G042800.Wm82.a4.v1,10.9283
Glyma.01G044100.Wm82.a4.v1,3.56275
Glyma.01G044000.Wm82.a4.v1,26.691
Glyma.01G044200.Wm82.a4.v1,3.56778
Glyma.01G044500.Wm82.a4.v1,8.8269
Glyma.01G044600.Wm82.a4.v1,1.64207
Glyma.01G045200.Wm82.a4.v1,11.1928
Glyma.01G045100.Wm82.a4.v1,4.46775
Glyma.01G045500.Wm82.a4.v1,1.97972
Glyma.01G046500.Wm82.a4.v1,1.40501
Glyma.01G046200.Wm82.a4.v1,4.23567
Glyma.01G046900.Wm82.a4.v1,1.14443
Glyma.01G046700.Wm82.a4.v1,3.26832
Glyma.01G047000.Wm82.a4.v1,22.2969
Glyma.01G047100.Wm82.a4.v1,3.3312
Glyma.01G047700.Wm82.a4.v1,4.81588
Glyma.01G049100.Wm82.a4.v1,1.4459
Glyma.01G048000.Wm82.a4.v1,1.66379
Glyma.01G048500.Wm82.a4.v1,1.60888
Glyma.01G050400.Wm82.a4.v1,1.62502
Glyma.01G050500.Wm82.a4.v1,2.78895
Glyma.01G050100.Wm82.a4.v1,8.80147
Glyma.01G050900.Wm82.a4.v1,16.4411
Glyma.01G052200.Wm82.a4.v1,1.92202
Glyma.01G052400.Wm82.a4.v1,2.59995
Glyma.01G052700.Wm82.a4.v1,3.10202
Glyma.01G052600.Wm82.a4.v1,1.17958
Glyma.01G052800.Wm82.a4.v1,2.63437
Glyma.01G053200.Wm82.a4.v1,2.2604
Glyma.01G051400.Wm82.a4.v1,3.428
Glyma.01G054000.Wm82.a4.v1,1.80972
Glyma.01G054200.Wm82.a4.v1,1.97214
Glyma.01G053800.Wm82.a4.v1,3.10657
