"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AverageFPKM"
"Glyma.01G000400.Wm82.a4.v1",334.277650767255,-0.0691853187731886,1.04792852252655,-0.0660210284250909,0.94736108371533,0.999992088905012,1.1641
"Glyma.01G000600.Wm82.a4.v1",400.607023489671,0.265226581011001,0.996277128213067,0.266217675283497,0.790071571152846,0.999992088905012,1.03884
"Glyma.01G000900.Wm82.a4.v1",618.882261200967,0.123818492692071,0.981685639033762,0.126128454740299,0.899630243705916,0.999992088905012,1.34958
"Glyma.01G001000.Wm82.a4.v1",359.792725668726,-0.377624054500459,1.01869391744468,-0.370694325384509,0.710865217376978,0.999992088905012,2.94225
"Glyma.01G001100.Wm82.a4.v1",873.973638171334,0.345781365093189,0.98940599816085,0.349483797082231,0.726726132953555,0.999992088905012,3.96813
"Glyma.01G001300.Wm82.a4.v1",4369.31396140047,0.10801873813742,0.963457649972421,0.112115709642777,0.910731661466007,0.999992088905012,13.6097
"Glyma.01G001700.Wm82.a4.v1",253.09321143327,0.0768000973885364,1.00807704371987,0.0761847498333452,0.939272115295743,0.999992088905012,1.54503
"Glyma.01G003000.Wm82.a4.v1",385.859635251927,0.223397685791244,1.11211539738565,0.200876353583815,0.840795257937236,0.999992088905012,3.2988
"Glyma.01G003100.Wm82.a4.v1",167.774287824851,-0.0448152595423354,1.04502971177144,-0.0428841965329089,0.965793846500844,0.999992088905012,1.75072
"Glyma.01G003800.Wm82.a4.v1",412.222575375114,0.0193714011698161,1.07982563453876,0.0179393788684137,0.985687214267869,0.999992088905012,2.43225
"Glyma.01G004300.Wm82.a4.v1",2022.42342218618,0.00942786340682272,1.02659616624736,0.00918361446963663,0.992672638799234,0.999992088905012,21.1278
"Glyma.01G004500.Wm82.a4.v1",1366.02510163505,0.157614122103093,1.00025920553631,0.157573278237,0.874793061355102,0.999992088905012,8.73485
"Glyma.01G005300.Wm82.a4.v1",245.571287325184,-0.0724237485460364,1.08451936998932,-0.0667795804760493,0.946757179535159,0.999992088905012,4.12265
"Glyma.01G005400.Wm82.a4.v1",1884.42171126152,-0.249342737210632,1.03104152127687,-0.24183578649853,0.808907408174914,0.999992088905012,8.91135
"Glyma.01G006100.Wm82.a4.v1",1202.83871648621,0.377981006911246,1.0226770177978,0.369599590421206,0.711680856323336,0.999992088905012,3.12792
"Glyma.01G006200.Wm82.a4.v1",81.1065621199497,-0.443727689188315,1.22066919115556,-0.363511828104922,0.716222578822011,0.999992088905012,3.647
"Glyma.01G006400.Wm82.a4.v1",826.04340076143,0.193824411084206,1.06698990044597,0.181655338071328,0.855853217762631,0.999992088905012,3.08058
"Glyma.01G006900.Wm82.a4.v1",1450.12955831686,0.469326910856953,1.02494401164069,0.45790492507554,0.647020748365297,0.999992088905012,10.446
"Glyma.01G007400.Wm82.a4.v1",472.462498731974,-0.369364347300473,1.02193817185745,-0.361435121489908,0.717774196829101,0.999992088905012,1.62237
"Glyma.01G008000.Wm82.a4.v1",93.9022971214431,-0.448844298335166,1.10046504023165,-0.407867839436939,0.683370704995864,0.999992088905012,1.09606
"Glyma.01G008400.Wm82.a4.v1",235.343173158549,0.0343400362881372,1.06581481292377,0.0322195149398747,0.974296993586091,0.999992088905012,1.40214
"Glyma.01G008900.Wm82.a4.v1",404.699449765317,-0.285321825834577,0.994478738639704,-0.286905908340337,0.774184366396368,0.999992088905012,1.48105
"Glyma.01G009900.Wm82.a4.v1",525.789039624735,-0.299880357254896,1.03173858865091,-0.290655366149497,0.771314911077143,0.999992088905012,3.26843
"Glyma.01G010100.Wm82.a4.v1",306.819211686457,-0.411504569978482,1.12630843606613,-0.36535691006253,0.714845002016543,0.999992088905012,1.16959
